Customer_ID,Age,Gender,Region,Company_Size,Industry,Product_Category,Annual_Spend,Number_of_Orders,Average_Order_Value,Recency_Days,Purchase_Frequency,Preferred_Product,Customer_Tenure_Months
CUST0001,41.0,Male,Bengaluru,Large,,Motion Control,268308.94,10,26830.89,39,0.833,Servo Drive,47
CUST0002,42.0,Male,Ahmedabad,Medium,,Mobile Robotics,461565.24,6,76927.54,54,0.5,AGV,13
CUST0003,36.0,Female,Pune,Medium,,Robotics,429242.19,5,85848.44,45,0.417,SCARA Robot,63
CUST0004,23.0,Female,Bengaluru,,Warehouse & Logistics,Robotics,868601.29,3,289533.76,9,0.25,Industrial Robot,48
CUST0005,42.0,Male,Mumbai,,Manufacturing,End Effectors,57057.89,6,9509.65,19,0.5,Robotic Gripper,14
CUST0006,,Female,Hyderabad,Large,General Engineering,Motion Control,349649.38,6,58274.9,93,0.5,Servo Motor,15
CUST0007,,Female,Ahmedabad,Medium,Warehouse & Logistics,Mobile Robotics,377131.63,10,37713.16,53,0.833,AMR,3
CUST0008,,Male,Chennai,Medium,General Engineering,Robotics,401485.32,9,44609.48,27,0.75,Industrial Robot,17
CUST0009,35.0,Male,Ahmedabad,Medium,Textile,Sensors,105591.97,4,26397.99,65,0.333,Ultrasonic Sensor,46
CUST0010,53.0,Male,Coimbatore,Small,Manufacturing,Machine Vision,88051.88,5,17610.38,138,0.417,Machine Vision Camera,20
CUST0011,62.0,Male,Delhi NCR,Small,General Engineering,Motion Control,225446.75,1,225446.75,67,0.083,Servo Motor,21
CUST0012,36.0,Female,Coimbatore,Small,Manufacturing,Sensors,86317.22,6,14386.2,21,0.5,LiDAR Sensor,3
CUST0013,29.0,Female,Bengaluru,Small,Manufacturing,Mobile Robotics,150120.91,4,37530.23,76,0.333,AMR,14
CUST0014,40.0,Male,Mumbai,Large,Textile,Robotics,745106.24,7,106443.75,106,0.583,Robot Controller,66
CUST0015,45.0,Male,Pune,Medium,Pharmaceutical,Mobile Robotics,386287.88,2,193143.94,73,0.167,AGV,42
CUST0016,44.0,Female,Mumbai,Small,Warehouse & Logistics,End Effectors,15128.69,4,3782.17,40,0.333,Vacuum Gripper,23
CUST0017,44.0,Female,Coimbatore,Medium,Pharmaceutical,Control,128870.79,8,16108.85,76,0.667,PLC,25
CUST0018,34.0,Male,Hyderabad,Medium,Warehouse & Logistics,Motion Control,212003.55,3,70667.85,44,0.25,Servo Drive,34
CUST0019,45.0,Male,Pune,Medium,Electronics,Sensors,81123.68,7,11589.1,20,0.583,LiDAR Sensor,14
CUST0020,33.0,Male,Pune,Small,Warehouse & Logistics,Machine Vision,270465.19,2,135232.59,40,0.167,Machine Vision Camera,10
CUST0021,42.0,Male,Chennai,Large,Warehouse & Logistics,Robotics,687507.22,3,229169.07,61,0.25,Robot Controller,44
CUST0022,37.0,Male,Delhi NCR,Medium,Automotive,End Effectors,95525.16,3,31841.72,38,0.25,Robotic Gripper,33
CUST0023,27.0,Male,Chennai,Medium,Electronics,Sensors,147346.78,9,16371.86,56,0.75,LiDAR Sensor,18
CUST0024,40.0,Male,Delhi NCR,Medium,Electronics,Robotics,669311.86,5,133862.37,29,0.417,Collaborative Robot,24
CUST0025,44.0,Male,Ahmedabad,Small,General Engineering,Motion Control,169519.36,5,33903.87,98,0.417,Servo Drive,14
CUST0026,43.0,Female,Delhi NCR,Small,Textile,Robotics,406093.5,7,58013.36,125,0.583,Collaborative Robot,29
CUST0027,42.0,Male,Chennai,Small,Automotive,Motion Control,275941.73,5,55188.35,56,0.417,Servo Motor,3
CUST0028,23.0,Male,Coimbatore,Medium,Textile,Control,146340.79,6,24390.13,46,0.5,HMI,30
CUST0029,44.0,Male,Pune,Medium,Manufacturing,Motion Control,218416.52,4,54604.13,146,0.333,Servo Drive,22
CUST0030,42.0,Male,Coimbatore,Small,Electronics,Robotics,318010.42,2,159005.21,56,0.167,SCARA Robot,13
CUST0031,29.0,Male,Delhi NCR,Medium,Warehouse & Logistics,Mobile Robotics,505916.97,8,63239.62,177,0.667,AMR,60
CUST0032,35.0,Male,Delhi NCR,Large,Manufacturing,Mobile Robotics,520500.36,7,74357.19,23,0.583,AMR,33
CUST0033,50.0,Male,Bengaluru,Medium,Automotive,End Effectors,116551.29,5,23310.26,58,0.417,Vacuum Gripper,12
CUST0034,38.0,Male,Ahmedabad,Small,Textile,Robotics,328468.76,7,46924.11,19,0.583,Robot Controller,6
CUST0035,27.0,Male,Delhi NCR,Small,Electronics,Motion Control,234269.18,4,58567.29,46,0.333,Servo Drive,28
CUST0036,29.0,Female,Chennai,Small,General Engineering,Mobile Robotics,173313.58,7,24759.08,78,0.583,AGV,4
CUST0037,52.0,Male,Chennai,Large,Manufacturing,Control,326479.03,4,81619.76,178,0.333,HMI,60
CUST0038,47.0,Female,Mumbai,Medium,Food Processing,Control,219161.37,7,31308.77,115,0.583,PLC,38
