Customer_ID,Age,Gender,Region,Company_Size,Industry,Product_Category,Annual_Spend,Number_of_Orders,Average_Order_Value,Recency_Days,Purchase_Frequency,Preferred_Product,Customer_Tenure_Months,Cluster,Segment
CUST0001,41.0,Male,Bengaluru,Large,Warehouse & Logistics,Motion Control,268308.94,10,26830.894,39,0.8333333333333334,Servo Drive,47,3,Frequent Automation Buyers
CUST0002,42.0,Male,Ahmedabad,Medium,Warehouse & Logistics,Mobile Robotics,461565.24,6,76927.54,54,0.5,AGV,13,3,Frequent Automation Buyers
CUST0003,36.0,Female,Pune,Medium,Warehouse & Logistics,Robotics,429242.19,5,85848.438,45,0.4166666666666667,SCARA Robot,63,0,Active Growth Customers
CUST0004,23.0,Female,Bengaluru,Medium,Warehouse & Logistics,Robotics,868601.29,3,289533.76333333337,9,0.25,Industrial Robot,48,2,High-Value Automation Customers
CUST0005,42.0,Male,Mumbai,Medium,Manufacturing,End Effectors,57057.89,6,9509.648333333333,19,0.5,Robotic Gripper,14,0,Active Growth Customers
CUST0006,38.0,Female,Hyderabad,Large,General Engineering,Motion Control,349649.38,6,58274.89666666667,93,0.5,Servo Motor,15,1,Low-Activity Customers
CUST0007,38.0,Female,Ahmedabad,Medium,Warehouse & Logistics,Mobile Robotics,377131.63,10,37713.163,53,0.8333333333333334,AMR,3,3,Frequent Automation Buyers
CUST0008,38.0,Male,Chennai,Medium,General Engineering,Robotics,401485.32,9,44609.48,27,0.75,Industrial Robot,17,3,Frequent Automation Buyers
CUST0009,35.0,Male,Ahmedabad,Medium,Textile,Sensors,105591.97,4,26397.9925,65,0.3333333333333333,Ultrasonic Sensor,46,0,Active Growth Customers
CUST0010,53.0,Male,Coimbatore,Small,Manufacturing,Machine Vision,88051.88,5,17610.376,138,0.4166666666666667,Machine Vision Camera,20,1,Low-Activity Customers
CUST0011,62.0,Male,Delhi NCR,Small,General Engineering,Motion Control,225446.75,1,225446.75,67,0.0833333333333333,Servo Motor,21,2,High-Value Automation Customers
CUST0012,36.0,Female,Coimbatore,Small,Manufacturing,Sensors,86317.22,6,14386.203333333331,21,0.5,LiDAR Sensor,3,0,Active Growth Customers
CUST0013,29.0,Female,Bengaluru,Small,Manufacturing,Mobile Robotics,150120.91,4,37530.2275,76,0.3333333333333333,AMR,14,0,Active Growth Customers
CUST0014,40.0,Male,Mumbai,Large,Textile,Robotics,745106.24,7,106443.74857142856,106,0.5833333333333334,Robot Controller,66,3,Frequent Automation Buyers
CUST0015,45.0,Male,Pune,Medium,Pharmaceutical,Mobile Robotics,386287.88,2,193143.94,73,0.1666666666666666,AGV,42,2,High-Value Automation Customers
CUST0016,44.0,Female,Mumbai,Small,Warehouse & Logistics,End Effectors,15128.69,4,3782.1725,40,0.3333333333333333,Vacuum Gripper,23,0,Active Growth Customers
CUST0017,44.0,Female,Coimbatore,Medium,Pharmaceutical,Control,128870.79,8,16108.84875,76,0.6666666666666666,PLC,25,3,Frequent Automation Buyers
CUST0018,34.0,Male,Hyderabad,Medium,Warehouse & Logistics,Motion Control,212003.55,3,70667.84999999999,44,0.25,Servo Drive,34,0,Active Growth Customers
CUST0019,45.0,Male,Pune,Medium,Electronics,Sensors,81123.68,7,11589.09714285714,20,0.5833333333333334,LiDAR Sensor,14,0,Active Growth Customers
CUST0020,33.0,Male,Pune,Small,Warehouse & Logistics,Machine Vision,270465.19,2,135232.595,40,0.1666666666666666,Machine Vision Camera,10,2,High-Value Automation Customers
CUST0021,42.0,Male,Chennai,Large,Warehouse & Logistics,Robotics,687507.22,3,229169.07333333333,61,0.25,Robot Controller,44,2,High-Value Automation Customers
CUST0022,37.0,Male,Delhi NCR,Medium,Automotive,End Effectors,95525.16,3,31841.72,38,0.25,Robotic Gripper,33,0,Active Growth Customers
CUST0023,27.0,Male,Chennai,Medium,Electronics,Sensors,147346.78,9,16371.864444444444,56,0.75,LiDAR Sensor,18,3,Frequent Automation Buyers
CUST0024,40.0,Male,Delhi NCR,Medium,Electronics,Robotics,669311.86,5,133862.372,29,0.4166666666666667,Collaborative Robot,24,2,High-Value Automation Customers
CUST0025,44.0,Male,Ahmedabad,Small,General Engineering,Motion Control,169519.36,5,33903.872,98,0.4166666666666667,Servo Drive,14,1,Low-Activity Customers
CUST0026,43.0,Female,Delhi NCR,Small,Textile,Robotics,406093.5,7,58013.357142857145,125,0.5833333333333334,Collaborative Robot,29,1,Low-Activity Customers
CUST0027,42.0,Male,Chennai,Small,Automotive,Motion Control,275941.73,5,55188.346,56,0.4166666666666667,Servo Motor,3,0,Active Growth Customers
CUST0028,23.0,Male,Coimbatore,Medium,Textile,Control,146340.79,6,24390.131666666668,46,0.5,HMI,30,0,Active Growth Customers
CUST0029,44.0,Male,Pune,Medium,Manufacturing,Motion Control,218416.52,4,54604.13,146,0.3333333333333333,Servo Drive,22,1,Low-Activity Customers
CUST0030,42.0,Male,Coimbatore,Small,Electronics,Robotics,318010.42,2,159005.21,56,0.1666666666666666,SCARA Robot,13,2,High-Value Automation Customers
CUST0031,29.0,Male,Delhi NCR,Medium,Warehouse & Logistics,Mobile Robotics,505916.97,8,63239.62125,177,0.6666666666666666,AMR,60,1,Low-Activity Customers
CUST0032,35.0,Male,Delhi NCR,Large,Manufacturing,Mobile Robotics,520500.36,7,74357.19428571429,23,0.5833333333333334,AMR,33,3,Frequent Automation Buyers
CUST0033,50.0,Male,Bengaluru,Medium,Automotive,End Effectors,116551.29,5,23310.258,58,0.4166666666666667,Vacuum Gripper,12,0,Active Growth Customers
CUST0034,38.0,Male,Ahmedabad,Small,Textile,Robotics,328468.76,7,46924.10857142857,19,0.5833333333333334,Robot Controller,6,3,Frequent Automation Buyers
CUST0035,27.0,Male,Delhi NCR,Small,Electronics,Motion Control,234269.18,4,58567.295,46,0.3333333333333333,Servo Drive,28,0,Active Growth Customers
CUST0036,29.0,Female,Chennai,Small,General Engineering,Mobile Robotics,173313.58,7,24759.082857142854,78,0.5833333333333334,AGV,4,3,Frequent Automation Buyers
CUST0037,52.0,Male,Chennai,Large,Manufacturing,Control,326479.03,4,81619.7575,178,0.3333333333333333,HMI,60,1,Low-Activity Customers
CUST0038,47.0,Female,Mumbai,Medium,Food Processing,Control,219161.37,7,31308.76714285714,115,0.5833333333333334,PLC,38,1,Low-Activity Customers
CUST0039,39.0,Male,Coimbatore,Medium,Automotive,Sensors,120480.59,3,40160.19666666666,13,0.25,Proximity Sensor,22,0,Active Growth Customers
CUST0040,47.0,Male,Pune,Medium,Manufacturing,Control,211177.01,3,70392.33666666667,26,0.25,HMI,3,0,Active Growth Customers
